"location_id","sensors_id","location","datetime","lat","lon","parameter","units","value","locationid"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178325","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""relativehumidity""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178326","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""temperature""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178528","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""um003""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178324","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm25""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
"3400953","12178323","""Walden Glenn (Murray"," UT)-3371040""",,,"""-111.924975""","""pm1""",,"3400953"
